Parliamentary Constituencies,Total PC
Andaman & Nicobar Islands,1
Andhra Pradesh,25
Arunachal Pradesh,2
Assam,14
Bihar,40
Chandigarh,1
Chhattisgarh,11
Dadra & Nagar Haveli and Daman & Diu,2
Goa,2
Gujarat,26
Haryana,10
Himachal Pradesh,4
Jammu and Kashmir,5
Jharkhand,14
Karnataka,28
Kerala,20
Ladakh,1
Lakshadweep,1
Madhya Pradesh,29
Maharashtra,48
Manipur,2
Meghalaya,2
Mizoram,1
Nagaland,1
NCT OF Delhi,7
Odisha,21
Puducherry,1
Punjab,13
Rajasthan,25
Sikkim,1
Tamil Nadu,39
Telangana,17
Tripura,2
Uttar Pradesh,80
Uttarakhand,5
